bronze_row_id,order_number,order_date,expected_receiving_date,shipping_date,order_status,customer_id,customer_company,customer_contact,employee_id,employee_name,office_id,office_city,product_number,product_name,product_category,source_product_category_code,unit_price,quantity,source_file,ingested_at_utc
31,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,121,Baane Mini Imports,Jonas Bergulfsen,1102,Gerard Bondur,5,Tokyo,S18_3232,1992 Ferrari 360 Spider red,Classic Cars,23,165.95,13,orderdetails.csv,2026-09-22T00:00:00Z
32,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,121,Baane Mini Imports,Jonas Bergulfsen,1102,Gerard Bondur,5,Tokyo,S18_4027,1970 Triumph Spitfire,Classic Cars,38,119.2,3,orderdetails.csv,2026-09-22T00:00:00Z
33,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,121,Baane Mini Imports,Jonas Bergulfsen,1102,Gerard Bondur,5,Tokyo,S24_1444,1970 Dodge Coronet,Classic Cars,35,52.02,6,orderdetails.csv,2026-09-22T00:00:00Z
34,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,121,Baane Mini Imports,Jonas Bergulfsen,1102,Gerard Bondur,5,Tokyo,S24_2840,1958 Chevy Corvette Limited Edition,Classic Cars,44,30.41,10,orderdetails.csv,2026-09-22T00:00:00Z
35,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,121,Baane Mini Imports,Jonas Bergulfsen,1102,Gerard Bondur,5,Tokyo,S24_4048,1992 Porsche Cayenne Turbo Silver,Classic Cars,26,106.45,5,orderdetails.csv,2026-09-22T00:00:00Z
36,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,121,Baane Mini Imports,Jonas Bergulfsen,1102,Gerard Bondur,5,Tokyo,S32_2509,1954 Greyhound Scenicruiser,Trucks and Buses,35,51.95,11,orderdetails.csv,2026-09-22T00:00:00Z
37,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,121,Baane Mini Imports,Jonas Bergulfsen,1102,Gerard Bondur,5,Tokyo,S32_3207,1950's Chicago Surface Lines Streetcar,Trains,49,56.55,4,orderdetails.csv,2026-09-22T00:00:00Z
38,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,121,Baane Mini Imports,Jonas Bergulfsen,1102,Gerard Bondur,5,Tokyo,S50_1392,Diamond T620 Semi-Skirted Tanker,Trucks and Buses,33,114.59,7,orderdetails.csv,2026-09-22T00:00:00Z
39,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,121,Baane Mini Imports,Jonas Bergulfsen,1102,Gerard Bondur,5,Tokyo,S50_1514,1962 City of Detroit Streetcar,Trains,32,53.31,2,orderdetails.csv,2026-09-22T00:00:00Z
40,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,124,Mini Gifts Distributors Ltd.,Susan Nelson,1143,Anthony Bow,6,Sydney,S10_4757,1972 Alfa Romeo GTA,Classic Cars,50,127.84,2,orderdetails.csv,2026-09-22T00:00:00Z
41,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,124,Mini Gifts Distributors Ltd.,Susan Nelson,1143,Anthony Bow,6,Sydney,S12_1108,2001 Ferrari Enzo,Classic Cars,41,205.72,15,orderdetails.csv,2026-09-22T00:00:00Z
42,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,124,Mini Gifts Distributors Ltd.,Susan Nelson,1143,Anthony Bow,6,Sydney,S12_3891,1969 Ford Falcon,Classic Cars,29,141.88,14,orderdetails.csv,2026-09-22T00:00:00Z
43,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,124,Mini Gifts Distributors Ltd.,Susan Nelson,1143,Anthony Bow,6,Sydney,S18_3140,1903 Ford Model A,Vintage Cars,22,136.59,11,orderdetails.csv,2026-09-22T00:00:00Z
44,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,124,Mini Gifts Distributors Ltd.,Susan Nelson,1143,Anthony Bow,6,Sydney,S18_3259,Collectable Wooden Train,Trains,38,87.73,13,orderdetails.csv,2026-09-22T00:00:00Z
45,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,124,Mini Gifts Distributors Ltd.,Susan Nelson,1143,Anthony Bow,6,Sydney,S18_4522,1904 Buick Runabout,Vintage Cars,41,75.48,10,orderdetails.csv,2026-09-22T00:00:00Z
46,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,124,Mini Gifts Distributors Ltd.,Susan Nelson,1143,Anthony Bow,6,Sydney,S24_2011,18th century schooner,Ships,43,117.97,9,orderdetails.csv,2026-09-22T00:00:00Z
47,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,124,Mini Gifts Distributors Ltd.,Susan Nelson,1143,Anthony Bow,6,Sydney,S24_3151,1912 Ford Model T Delivery Wagon,Vintage Cars,44,73.46,4,orderdetails.csv,2026-09-22T00:00:00Z
48,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,124,Mini Gifts Distributors Ltd.,Susan Nelson,1143,Anthony Bow,6,Sydney,S24_3816,1940 Ford Delivery Sedan,Vintage Cars,50,75.47,1,orderdetails.csv,2026-09-22T00:00:00Z
49,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,124,Mini Gifts Distributors Ltd.,Susan Nelson,1143,Anthony Bow,6,Sydney,S700_1138,The Schooner Bluenose,Ships,41,54,5,orderdetails.csv,2026-09-22T00:00:00Z
50,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,124,Mini Gifts Distributors Ltd.,Susan Nelson,1143,Anthony Bow,6,Sydney,S700_1938,The Mayflower,Ships,29,86.61,12,orderdetails.csv,2026-09-22T00:00:00Z
51,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,124,Mini Gifts Distributors Ltd.,Susan Nelson,1143,Anthony Bow,6,Sydney,S700_2610,The USS Constitution Ship,Ships,31,60.72,3,orderdetails.csv,2026-09-22T00:00:00Z
52,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,124,Mini Gifts Distributors Ltd.,Susan Nelson,1143,Anthony Bow,6,Sydney,S700_3505,The Titanic,Ships,39,92.16,6,orderdetails.csv,2026-09-22T00:00:00Z
53,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,124,Mini Gifts Distributors Ltd.,Susan Nelson,1143,Anthony Bow,6,Sydney,S700_3962,The Queen Mary,Ships,22,99.31,7,orderdetails.csv,2026-09-22T00:00:00Z
54,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,124,Mini Gifts Distributors Ltd.,Susan Nelson,1143,Anthony Bow,6,Sydney,S72_3212,Pont Yacht,Ships,25,44.77,8,orderdetails.csv,2026-09-22T00:00:00Z
55,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S18_1662,1980s Black Hawk Helicopter,Planes,36,134.04,12,orderdetails.csv,2026-09-22T00:00:00Z
56,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S18_2581,P-51-D Mustang,Planes,34,81.1,2,orderdetails.csv,2026-09-22T00:00:00Z
57,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S18_3029,1999 Yamaha Speed Boat,Ships,41,80.86,18,orderdetails.csv,2026-09-22T00:00:00Z
58,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S18_3856,1941 Chevrolet Special Deluxe Cabriolet,Vintage Cars,41,94.22,17,orderdetails.csv,2026-09-22T00:00:00Z
59,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S24_1785,1928 British Royal Navy Airplane,Planes,28,107.23,4,orderdetails.csv,2026-09-22T00:00:00Z
60,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S24_2841,1900s Vintage Bi-Plane,Planes,49,65.77,13,orderdetails.csv,2026-09-22T00:00:00Z
61,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S24_3420,1937 Horch 930V Limousine,Vintage Cars,31,55.89,14,orderdetails.csv,2026-09-22T00:00:00Z
62,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S24_3949,Corsair F4U ( Bird Cage),Planes,50,55.96,11,orderdetails.csv,2026-09-22T00:00:00Z
63,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S24_4278,1900s Vintage Tri-Plane,Planes,26,71,3,orderdetails.csv,2026-09-22T00:00:00Z
64,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S32_4289,1928 Ford Phaeton Deluxe,Vintage Cars,33,65.35,5,orderdetails.csv,2026-09-22T00:00:00Z
65,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S50_1341,1930 Buick Marquette Phaeton,Vintage Cars,39,35.78,6,orderdetails.csv,2026-09-22T00:00:00Z
66,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S700_1691,American Airlines: B767-300,Planes,31,91.34,7,orderdetails.csv,2026-09-22T00:00:00Z
67,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S700_2047,HMS Bounty,Ships,30,85.09,16,orderdetails.csv,2026-09-22T00:00:00Z
68,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S700_2466,America West Airlines B757-200,Planes,34,99.72,9,orderdetails.csv,2026-09-22T00:00:00Z
69,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S700_2834,ATA: B757-300,Planes,32,113.9,1,orderdetails.csv,2026-09-22T00:00:00Z
70,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S700_3167,F/A 18 Hornet 1/72,Planes,44,76,8,orderdetails.csv,2026-09-22T00:00:00Z
71,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S700_4002,American Airlines: MD-11S,Planes,48,70.33,10,orderdetails.csv,2026-09-22T00:00:00Z
72,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,1165,Leslie Jennings,7,London,S72_1253,Boeing X-32A JSF,Planes,48,43.7,15,orderdetails.csv,2026-09-22T00:00:00Z
73,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,128,Blauer See Auto Co.,Roland Keitel,1166,Leslie Thompson,1,San Francisco,S10_1678,1969 Harley Davidson Ultimate Chopper,Motorcycles,30,81.35,2,orderdetails.csv,2026-09-22T00:00:00Z
74,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,128,Blauer See Auto Co.,Roland Keitel,1166,Leslie Thompson,1,San Francisco,S10_2016,1996 Moto Guzzi 1100i,Motorcycles,39,105.86,5,orderdetails.csv,2026-09-22T00:00:00Z
75,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,128,Blauer See Auto Co.,Roland Keitel,1166,Leslie Thompson,1,San Francisco,S10_4698,2003 Harley-Davidson Eagle Drag Bike,Motorcycles,27,172.36,4,orderdetails.csv,2026-09-22T00:00:00Z
76,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,128,Blauer See Auto Co.,Roland Keitel,1166,Leslie Thompson,1,San Francisco,S12_2823,2002 Suzuki XREO,Motorcycles,21,122,1,orderdetails.csv,2026-09-22T00:00:00Z
77,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,128,Blauer See Auto Co.,Roland Keitel,1166,Leslie Thompson,1,San Francisco,S18_2625,1936 Harley Davidson El Knucklehead,Motorcycles,29,52.7,6,orderdetails.csv,2026-09-22T00:00:00Z
78,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,128,Blauer See Auto Co.,Roland Keitel,1166,Leslie Thompson,1,San Francisco,S24_1578,1997 BMW R 1100 S,Motorcycles,25,96.92,3,orderdetails.csv,2026-09-22T00:00:00Z
79,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,128,Blauer See Auto Co.,Roland Keitel,1166,Leslie Thompson,1,San Francisco,S24_2000,1960 BSA Gold Star DBD34,Motorcycles,38,73.12,7,orderdetails.csv,2026-09-22T00:00:00Z
80,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,128,Blauer See Auto Co.,Roland Keitel,1166,Leslie Thompson,1,San Francisco,S32_1374,1997 BMW F650 ST,Motorcycles,20,88.9,8,orderdetails.csv,2026-09-22T00:00:00Z
81,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S12_1099,1968 Ford Mustang,Classic Cars,33,165.38,6,orderdetails.csv,2026-09-22T00:00:00Z
82,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S12_3380,1968 Dodge Charger,Classic Cars,45,96.3,4,orderdetails.csv,2026-09-22T00:00:00Z
83,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S12_3990,1970 Plymouth Hemi Cuda,Classic Cars,39,75.81,7,orderdetails.csv,2026-09-22T00:00:00Z
84,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S12_4675,1969 Dodge Charger,Classic Cars,36,107.1,3,orderdetails.csv,2026-09-22T00:00:00Z
85,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S18_1889,1948 Porsche 356-A Roadster,Classic Cars,38,67.76,2,orderdetails.csv,2026-09-22T00:00:00Z
86,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S18_3278,1969 Dodge Super Bee,Classic Cars,26,73.17,9,orderdetails.csv,2026-09-22T00:00:00Z
87,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S18_3482,1976 Ford Gran Torino,Classic Cars,29,132.29,8,orderdetails.csv,2026-09-22T00:00:00Z
88,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S18_3782,1957 Vespa GS150,Motorcycles,43,52.84,12,orderdetails.csv,2026-09-22T00:00:00Z
89,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S18_4721,1957 Corvette Convertible,Classic Cars,44,139.87,11,orderdetails.csv,2026-09-22T00:00:00Z
90,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S24_2360,1982 Ducati 900 Monster,Motorcycles,35,64.41,15,orderdetails.csv,2026-09-22T00:00:00Z
91,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S24_3371,1971 Alpine Renault 1600s,Classic Cars,30,60.01,5,orderdetails.csv,2026-09-22T00:00:00Z
92,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S24_3856,1956 Porsche 356A Coupe,Classic Cars,40,132,1,orderdetails.csv,2026-09-22T00:00:00Z
93,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S24_4620,1961 Chevrolet Impala,Classic Cars,31,67.1,10,orderdetails.csv,2026-09-22T00:00:00Z
94,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S32_2206,1982 Ducati 996 R,Motorcycles,27,36.21,13,orderdetails.csv,2026-09-22T00:00:00Z
95,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S32_4485,1974 Ducati 350 Mk3 Desmo,Motorcycles,31,87.76,16,orderdetails.csv,2026-09-22T00:00:00Z
96,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,129,Mini Wheels Co.,Julie Murphy,1188,Julie Firrelli,2,Boston,S50_4713,2002 Yamaha YZR M1,Motorcycles,34,74.85,14,orderdetails.csv,2026-09-22T00:00:00Z
97,10109,2003-03-10,2003-03-19,2003-03-11,Shipped,131,Land of Toys Inc.,Kwai Lee,1216,Steve Patterson,3,NYC,S18_1129,1993 Mazda RX-7,Classic Cars,26,117.48,4,orderdetails.csv,2026-09-22T00:00:00Z
98,10109,2003-03-10,2003-03-19,2003-03-11,Shipped,131,Land of Toys Inc.,Kwai Lee,1216,Steve Patterson,3,NYC,S18_1984,1995 Honda Civic,Classic Cars,38,137.98,3,orderdetails.csv,2026-09-22T00:00:00Z
99,10109,2003-03-10,2003-03-19,2003-03-11,Shipped,131,Land of Toys Inc.,Kwai Lee,1216,Steve Patterson,3,NYC,S18_2870,1999 Indy 500 Monte Carlo SS,Classic Cars,26,126.72,1,orderdetails.csv,2026-09-22T00:00:00Z
100,10109,2003-03-10,2003-03-19,2003-03-11,Shipped,131,Land of Toys Inc.,Kwai Lee,1216,Steve Patterson,3,NYC,S18_3232,1992 Ferrari 360 Spider red,Classic Cars,46,160.87,5,orderdetails.csv,2026-09-22T00:00:00Z
101,10109,2003-03-10,2003-03-19,2003-03-11,Shipped,131,Land of Toys Inc.,Kwai Lee,1216,Steve Patterson,3,NYC,S18_3685,1948 Porsche Type 356 Roadster,Classic Cars,47,125.74,2,orderdetails.csv,2026-09-22T00:00:00Z
102,10109,2003-03-10,2003-03-19,2003-03-11,Shipped,131,Land of Toys Inc.,Kwai Lee,1216,Steve Patterson,3,NYC,S24_2972,1982 Lamborghini Diablo,Classic Cars,29,32.1,6,orderdetails.csv,2026-09-22T00:00:00Z
103,10110,2003-03-18,2003-03-24,2003-03-20,Shipped,141,Euro+ Shopping Channel,Diego  Freyre,1286,Foon Yue Tseng,4,Paris,S18_1589,1965 Aston Martin DB5,Classic Cars,37,118.22,16,orderdetails.csv,2026-09-22T00:00:00Z
104,10110,2003-03-18,2003-03-24,2003-03-20,Shipped,141,Euro+ Shopping Channel,Diego  Freyre,1286,Foon Yue Tseng,4,Paris,S18_1749,1917 Grand Touring Sedan,Vintage Cars,42,153,7,orderdetails.csv,2026-09-22T00:00:00Z
