customer_key,customer_id,company,contact_name,phone,address,city_and_state,postal_code,country
84,361,Kommission Auto,Karin Josephs,0251-555259,Luisenstr. 48,Munster,44087,Germany
85,362,Gifts4AllAges.com,Juri Yoshido,6175559555,8616 Spinnaker Dr.,Boston MA,51003,USA
86,363,Online Diecast Creations Co.,Dorothy Young,6035558647,2304 Long Airport Avenue,Nashua NH,62005,USA
87,369,Lisboa Souveniers,Lino  Rodriguez,(1) 354-2555,Jardim das rosas n. 32,Lisboa,3533,Portugal
88,376,Precious Collectables,Braun Urs,0452-076555,Hauptstr. 29,Bern,3012,Switzerland
89,379,Collectables For Less Inc.,Allen Nelson,6175558555,7825 Douglas Av.,Brickhaven MA,58339,USA
90,381,Royale Belge,Pascale  Cartrain,(071) 23 67 2555,Boulevard Tirou,Charleroi,B-6000,Belgium
91,382,Salzburg Collectables,Georg  Pipps,6562-9555,Geislweg 14,Salzburg,5020,Austria
92,385,Cruz & Sons Co.,Arnold Cruz,+63 2 555 3587,15 McCallum Street,Makati City,1227 MM,Philippines
93,386,L'ordine Souveniers,Maurizio  Moroni,0522-556555,Strada Provinciale 124,Reggio Emilia,15645,Italy
94,398,Tokyo Collectables,Shimamura  Ltd,Akiko,+81 3 3584 0555,Tokyo,106-0032,Japan
95,406,Auto Canal+ Petit,Dominique Perrier,(1) 47.55.6555,25  rue Lauriston,Paris,75016,France
96,409,Stuttgart Collectable Exchange,Rita  M�ller,0711-555361,Adenauerallee 900,Stuttgart,4564654,Germany
97,412,Extreme Desk Decorations,Sarah McRoy,04 499 9555,101 Lambton Quay,Wellington,54654,New Zealand
98,415,Bavarian Collectables Imports Co.,Michael Donnermeyer, +49 89 61 08 9555,Hansastr. 15,Munich,468412,Germany
99,424,Classic Legends Inc.,Maria Hernandez,2125558493,5905 Pompton St.,NYC NY,10022,USA
100,443,Feuer Online Stores,Alexander  Feuer,0342-555176,Heerstr. 22,Leipzig,4956,Germany
101,447,Gift Ideas Corp.,Dan Lewis,2035554407,2440 Pompton St.,Glendale CT,97561,USA
102,448,Scandinavian Gift Ideas,Martha Larsson,0695-34 6555,Kergatan 24,Stockholm,465489,Sweden
103,450,The Sharp Gifts Warehouse,Sue Frick,4085553659,3086 Ingle Ln.,San Jose CA,94217,USA
104,452,Mini Auto Werke,Roland  Mendel,7675-3555,Kirchgasse 6,Graz,8010,Austria
105,455,Super Scale Inc.,Leslie Murphy,2035559545,567 North Pendale Street,New Haven CT,97823,USA
106,456,Microscale Inc.,Yu Choi,2125551957,5290 North Pendale Street,NYC NY,10022,USA
107,458,Corrida Auto Replicas,Mart�n  Sommer,(91) 555 22 82,C/ Araquil, Madrid,28461,Spain
108,459,Warburg Exchange,Sven  Ottlieb,0241-039123,Walserweg 21,Aachen,46561,Germany
109,462,FunGiftIdeas.com,Violeta Benitez,5085552555,1785 First StreetNew Bedford,MA,50553,USA
110,465,Anton Designs,Carmen Anton,+34 913 728555,c/ Gobelas,Madrid,28465,Spain
111,471,Australian Collectables,Sean Clenahan,61-9-3844-6555,7 Allen StreetGlen Waverly,Victoria,3150,Australia
112,473,Frau da Collezione,Franco Ricotti,+39 022515555,20093 Cologno Monzese,Milan,15642,Italy
113,475,West Coast Collectables Co.,Steve Thompson,3105553722,3675 Furth Circle,Burbank CA,94019,USA
114,477,Mit Vergn�gen & Co.,Hanna  Moos,0621-08555,Forsterstr. 57,Mannheim,68549,Germany
115,480,Kremlin Collectables Co.,Alexander  Semenov,+7 812 293 0521,2 Pobedy Square,St Petersburg,19548,Russia
116,481,Raanan Stores,Raanan Altagar,+ 972 9 959 8555,3 Hagalim Blv.Herzlia47625,Tel Aviv,164800,Israel
117,484,Iberia Gift Imports Corp.,Jos� Pedro  Roel,(95) 555 82 82,C/ Romero,Sevilla,156454,Spain
118,486,Motor Mint Distributors Inc.,Rosa Salazar,2155559857,11328 Douglas Av.,Philadelphia PA,71270,USA
119,487,Signal Collectibles Ltd.,Sue Taylor,4155554312,2793 Furth CircleBrisbane,San Francisco CA,94217,USA
120,489,Double Decker Gift Stores,Thomas  Smith,(171) 555-7555,120 Hanover Sq,London,156546,UK
121,495,Diecast Collectables,Valarie Franco,6175552555,6251 Ingle Ln.,Boston MA,51003,USA
122,496,Kelly's Gift Shop,Tony Snowden,+64 9 5555500,Arenales 1938 3,Auckland,156546,New Zealand
